credential_id,name,issuer,cluster,sub_cluster,cross_cutting_tags,grade_band,exam_format,current_version,version_effective_date,objectives_source_url,objective_count,ca_approved,tx_ibc,fl_cape,ny_approved,pa_approved,oh_irc,il_approved,anchor_candidate,notes
comptia-data-plus,CompTIA Data+,CompTIA,Digital Technology,Data Science & Artificial Intelligence,,Both,"Max 90 MCQ + PBQ; 90 min",DA0-002,2025-10-14,https://www.comptia.org/en-us/certifications/data/v2/,~35,unknown,verify,verify,unknown,unknown,unknown,unknown,yes,"V1 (DA0-001) retires April 14 2026 English. V2 launched Oct 2025 with AI/cloud topics. 675/900 passing. ~$253 retail; 50% academic discount."
certiport-its-data-analytics,Certiport IT Specialist: Data Analytics,Certiport (Pearson VUE),Digital Technology,Data Science & Artificial Intelligence,,HS,"36-40 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~36,unknown,verify,verify,unknown,unknown,yes (1 pt),unknown,yes,"SAS-endorsed. Entry-level; designed for HS. ~$100 voucher. 5-year validity from June 2025."
certiport-its-artificial-intelligence,Certiport IT Specialist: Artificial Intelligence,Certiport (Pearson VUE),Digital Technology,Data Science & Artificial Intelligence,,HS,"36-40 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~36,unknown,verify,verify,unknown,unknown,yes (1 pt),unknown,yes,"SAS-endorsed. Entry-level AI concepts exam. ~$100 voucher. 5-year validity."
certiport-its-python,Certiport IT Specialist: Python,Certiport (Pearson VUE),Digital Technology,Data Science & Artificial Intelligence,Digital Technology → Software Solutions,HS,"36-40 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~36,unknown,verify,verify,unknown,unknown,yes (1 pt),unknown,maybe,"Cross-cuts with Software Solutions. Foundational Python; not DS-specific. 5-year validity."
certiport-its-databases,Certiport IT Specialist: Databases,Certiport (Pearson VUE),Digital Technology,Data Science & Artificial Intelligence,Digital Technology → Software Solutions,HS,"36-40 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~36,unknown,verify,verify,unknown,unknown,unknown,unknown,no,"SAS-endorsed. SQL/relational DB focus. Supportive but not anchor for DS/AI."
pcep-python,PCEP - Certified Entry-Level Python Programmer,Python Institute (OpenEDG),Digital Technology,Data Science & Artificial Intelligence,Digital Technology → Software Solutions,HS,"40 MCQ/multi-select; 65 min",PCEP-30-02,rolling,https://pythoninstitute.org/pcep,~25,unknown,verify,verify,unknown,unknown,yes (3 pt),unknown,maybe,"Entry-level Python. $59 retail. Cross-cuts with software dev. 70% passing."
pcap-python,PCAP - Certified Associate Python Programmer,Python Institute (OpenEDG),Digital Technology,Data Science & Artificial Intelligence,Digital Technology → Software Solutions,Both,"40 MCQ/multi-select; 65 min",PCAP-31-0x,rolling,https://pythoninstitute.org/pcap-exam-syllabus,~40,unknown,verify,verify,unknown,unknown,unknown,unknown,maybe,"Intermediate Python including OOP. 700/1000 passing. More advanced than PCEP."
pced-python-data-analyst,PCED - Certified Entry-Level Data Analyst with Python,Python Institute (OpenEDG),Digital Technology,Data Science & Artificial Intelligence,,HS,"MCQ/multi-select; timed",PCED-30-02,rolling,https://pythoninstitute.org/pced-exam-syllabus,~30,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,"NEW credential — data analytics focus using Python. $59 retail. 75% passing. Covers data collection/cleaning/analysis."
ms-ai-900,Microsoft Certified: Azure AI Fundamentals,Microsoft,Digital Technology,Data Science & Artificial Intelligence,,Both,"~45 MCQ; 45 min",AI-900,rolling,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/ai-900,~25,unknown,verify,verify,unknown,unknown,yes (4 pt),unknown,yes,"RETIRING June 30 2026 — replaced by AI-901. Free vouchers via Virtual Training Days. 700/1000 passing."
ms-ai-901,Microsoft Certified: Azure AI Fundamentals (Refreshed),Microsoft,Digital Technology,Data Science & Artificial Intelligence,,Both,"~45 MCQ; 45 min",AI-901,2026-06,https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-fundamentals/,~25,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,"Successor to AI-900. Beta April 2026; GA expected June 2026. Adds GenAI/Azure OpenAI content. Not yet on any state list."
ms-dp-900,Microsoft Certified: Azure Data Fundamentals,Microsoft,Digital Technology,Data Science & Artificial Intelligence,,Both,"~45 MCQ; 45 min",DP-900,rolling,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/dp-900,~25,unknown,verify,verify,unknown,unknown,yes (4 pt),unknown,yes,"Free vouchers via MS Learn / Virtual Training Days. Core data concepts + Azure services. 700/1000 passing."
ms-pl-300,Microsoft Certified: Power BI Data Analyst Associate,Microsoft,Digital Technology,Data Science & Artificial Intelligence,,PS,"50-60 MCQ + interactive; 100 min",PL-300,rolling,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/pl-300,~35,unknown,verify,verify,unknown,unknown,yes (6 pt),unknown,no,"Associate-level; targets 1-2 years experience. $165 exam. Annual renewal."
aws-ai-practitioner,AWS Certified AI Practitioner,Amazon Web Services,Digital Technology,Data Science & Artificial Intelligence,,Both,"65 MCQ/multi-select; 90 min",AIF-C01,2024-08,https://d1.awsstatic.com/training-and-certification/docs-ai-practitioner/AWS-Certified-AI-Practitioner_Exam-Guide.pdf,~30,unknown,verify,verify,unknown,unknown,unknown,unknown,yes,"Launched Aug 2024. Foundational AI/ML/GenAI credential. AWS Educate for ages 13+. $100 exam. 700/1000 passing."
