atom_id,state,standard_code,alignment_strength,rationale,source,reviewer,review_date,framework_version
healthcare-delivery-system-overview,TX,127.402-c8A,primary,"Atom directly covers U.S. healthcare delivery system: providers, settings, payers, and regulators",ai-draft,maya-delgado,2026-04-20,2022 Adopted
healthcare-delivery-system-overview,TX,127.402-c1A,supporting,"Atom references career opportunities within the delivery system context",ai-draft,maya-delgado,2026-04-20,2022 Adopted
healthcare-careers-and-pathways,TX,127.402-c1A,primary,"Atom's career-family taxonomy directly aligns with the five health science career pathways",ai-draft,maya-delgado,2026-04-20,2022 Adopted
healthcare-careers-and-pathways,TX,127.402-c1B,primary,"Atom covers education, licensure, and certification ladders by role",ai-draft,maya-delgado,2026-04-20,2022 Adopted
healthcare-careers-and-pathways,TX,127.402-c1C,primary,"Atom's pathway-mapping assessment scaffolds personal career plan creation",ai-draft,maya-delgado,2026-04-20,2022 Adopted
healthcare-team-roles,TX,127.402-c3C,primary,"Atom directly addresses roles and scopes of healthcare team members",ai-draft,maya-delgado,2026-04-20,2022 Adopted
healthcare-team-roles,TX,127.402-c1A,supporting,"Atom reinforces career pathway awareness through role differentiation",ai-draft,maya-delgado,2026-04-20,2022 Adopted
medical-terminology-word-parts,TX,127.402-c2A,primary,"Atom directly teaches word roots, prefixes, and suffixes for medical communication",ai-draft,maya-delgado,2026-04-20,2022 Adopted
medical-terminology-word-parts,TX,127.402-c6C,primary,"Atom's decoding strategy explicitly targets interpreting unfamiliar terms from word parts",ai-draft,maya-delgado,2026-04-20,2022 Adopted
common-medical-abbreviations,TX,127.402-c6D,primary,"Atom covers common abbreviations and explicitly includes the Joint Commission do-not-use list",ai-draft,maya-delgado,2026-04-20,2022 Adopted
common-medical-abbreviations,TX,127.402-c2A,supporting,"Atom reinforces medical-communication vocabulary",ai-draft,maya-delgado,2026-04-20,2022 Adopted
common-medical-abbreviations,TX,127.402-c2C,supporting,"Atom addresses documentation standards through abbreviation use",ai-draft,maya-delgado,2026-04-20,2022 Adopted
body-organization-and-directional-terms,TX,127.402-c6A,primary,"Atom directly covers levels of organization, planes, cavities, and directional terms",ai-draft,maya-delgado,2026-04-20,2022 Adopted
body-systems-overview,TX,127.402-c6B,primary,"Atom identifies the 11 major body systems and primary functions with representative disorders",ai-draft,maya-delgado,2026-04-20,2022 Adopted
professional-ethics-in-healthcare,TX,127.402-c4D,primary,"Atom directly teaches the four ethical principles and applies them to dilemmas",ai-draft,maya-delgado,2026-04-20,2022 Adopted
hipaa-and-patient-confidentiality,TX,127.402-c4A,primary,"Atom covers HIPAA Privacy, Security, and Breach rules plus patient confidentiality in practice",ai-draft,maya-delgado,2026-04-20,2022 Adopted
patient-rights-and-informed-consent,TX,127.402-c4B,primary,"Atom covers Patient Bill of Rights and the five elements of informed consent",ai-draft,maya-delgado,2026-04-20,2022 Adopted
scope-of-practice-and-licensure,TX,127.402-c4C,primary,"Atom directly addresses scope, licensure, delegation, and practice-act variation",ai-draft,maya-delgado,2026-04-20,2022 Adopted
standard-precautions-and-chain-of-infection,TX,127.402-c5A,primary,"Atom covers standard precautions and the six-link chain of infection with transmission modes",ai-draft,maya-delgado,2026-04-20,2022 Adopted
hand-hygiene-technique,TX,127.402-c5B,primary,"Atom teaches soap-and-water and ABHR technique plus WHO Five Moments",ai-draft,maya-delgado,2026-04-20,2022 Adopted
personal-protective-equipment-use,TX,127.402-c5C,primary,"Atom covers PPE selection and correct donning/doffing sequence with skill check",ai-draft,maya-delgado,2026-04-20,2022 Adopted
body-mechanics-and-safe-patient-handling,TX,127.402-c5D,primary,"Atom teaches body mechanics, safe transfers, and lift-equipment decision-making",ai-draft,maya-delgado,2026-04-20,2022 Adopted
fire-and-emergency-safety,TX,127.402-c5E,primary,"Atom covers RACE, PASS, emergency codes, and evacuation priorities",ai-draft,maya-delgado,2026-04-20,2022 Adopted
