credential_id,exam,domain_code,domain_name,domain_weight_pct,objective_code,objective_statement
comptia-network-plus,N10-009,1.0,Networking Concepts,23,1.1,Explain concepts related to the Open Systems Interconnection (OSI) reference model
comptia-network-plus,N10-009,1.0,Networking Concepts,23,1.2,Compare and contrast networking appliances applications and functions
comptia-network-plus,N10-009,1.0,Networking Concepts,23,1.3,Summarize cloud concepts and connectivity options
comptia-network-plus,N10-009,1.0,Networking Concepts,23,1.4,Explain common networking ports protocols services and traffic types
comptia-network-plus,N10-009,1.0,Networking Concepts,23,1.5,Compare and contrast transmission media and transceivers
comptia-network-plus,N10-009,1.0,Networking Concepts,23,1.6,Compare and contrast network topologies architectures and types
comptia-network-plus,N10-009,1.0,Networking Concepts,23,1.7,Given a scenario use appropriate IPv4 network addressing
comptia-network-plus,N10-009,2.0,Network Implementation,20,2.1,Given a scenario configure switching technologies and features
comptia-network-plus,N10-009,2.0,Network Implementation,20,2.2,Given a scenario configure routing technologies and features
comptia-network-plus,N10-009,2.0,Network Implementation,20,2.3,Given a scenario install and configure wireless technologies
comptia-network-plus,N10-009,2.0,Network Implementation,20,2.4,Explain important factors of physical installations
comptia-network-plus,N10-009,3.0,Network Operations,19,3.1,Explain the purpose of organizational processes and procedures
comptia-network-plus,N10-009,3.0,Network Operations,19,3.2,Given a scenario use network monitoring technologies
comptia-network-plus,N10-009,3.0,Network Operations,19,3.3,Explain disaster recovery (DR) concepts
comptia-network-plus,N10-009,3.0,Network Operations,19,3.4,Given a scenario implement IPv4 and IPv6 network services
comptia-network-plus,N10-009,3.0,Network Operations,19,3.5,Compare and contrast network access and management methods
comptia-network-plus,N10-009,4.0,Network Security,14,4.1,Explain the importance of basic network security concepts
comptia-network-plus,N10-009,4.0,Network Security,14,4.2,Summarize various types of attacks and their impact on the network
comptia-network-plus,N10-009,4.0,Network Security,14,4.3,Given a scenario apply network security features defense techniques and solutions
comptia-network-plus,N10-009,5.0,Network Troubleshooting,24,5.1,Explain the network troubleshooting methodology
comptia-network-plus,N10-009,5.0,Network Troubleshooting,24,5.2,Given a scenario troubleshoot common cabling and physical interface issues
comptia-network-plus,N10-009,5.0,Network Troubleshooting,24,5.3,Given a scenario troubleshoot common issues with network services
comptia-network-plus,N10-009,5.0,Network Troubleshooting,24,5.4,Given a scenario troubleshoot common performance issues
comptia-network-plus,N10-009,5.0,Network Troubleshooting,24,5.5,Given a scenario use the appropriate tool or protocol to solve networking issues
