credential_id,name,issuer,cluster,sub_cluster,cross_cutting_tags,grade_band,exam_format,current_version,version_effective_date,objectives_source_url,objective_count,ca_approved,tx_ibc,fl_cape,ny_approved,pa_approved,oh_irc,il_approved,anchor_candidate,notes
comptia-network-plus,CompTIA Network+,CompTIA,Digital Technology,Network Systems & Cybersecurity,,Both,"CBT, max 90 items (MC + PBQ), 90 min, pass 720/900",N10-009,2024-06,https://www.comptia.org/certifications/network/,~90 across 5 domains,yes,yes,yes,yes,yes,yes (6 pt),yes,yes,"Flagship networking credential. Revises every ~3 years. N10-008 retired Dec 2024. Among the most-prepped CTE certs nationally."
comptia-security-plus,CompTIA Security+,CompTIA,Digital Technology,Network Systems & Cybersecurity,,Both,"CBT, max 90 items (MC + PBQ), 90 min, pass 750/900",SY0-701,2023-11,https://www.comptia.org/certifications/security/,28 objectives across 5 domains,yes,yes,yes,yes,yes,yes (6 pt),yes,yes,"DoD 8570/8140 baseline. Most-prepped cybersecurity cert in CTE. SY0-601 retired Jul 2024. Vendor-neutral."
comptia-cysa-plus,CompTIA CySA+,CompTIA,Digital Technology,Network Systems & Cybersecurity,,PS,"CBT, max 85 items (MC + PBQ), 165 min, pass 750/900",CS0-003,2023-06,https://www.comptia.org/certifications/cybersecurity-analyst/,~80 across 4 domains,verify,yes,verify,yes,verify,yes (6 pt),verify,no,"Intermediate SOC-analyst credential. CS0-004 expected early 2026. PS-dominant."
comptia-pentest-plus,CompTIA PenTest+,CompTIA,Digital Technology,Network Systems & Cybersecurity,,PS,"CBT, max 90 items (MC + PBQ), 165 min, pass 750/900",PT0-003,2024-12,https://www.comptia.org/certifications/pentest/,~90 across 5 domains,verify,verify,verify,verify,verify,verify,verify,no,"Offensive security focus. PT0-002 retired Jun 2025. PS-only."
comptia-securityx,CompTIA SecurityX (formerly CASP+),CompTIA,Digital Technology,Network Systems & Cybersecurity,,PS,"CBT, max 90 items (MC + PBQ), 165 min, pass/fail",CAS-005,2024-12,https://www.comptia.org/certifications/securityx/,23 objectives,verify,verify,verify,verify,verify,verify,verify,no,"Expert-level; rebranded from CASP+ Dec 2024. Not HS-viable."
isc2-cc,ISC2 Certified in Cybersecurity (CC),ISC2,Digital Technology,Network Systems & Cybersecurity,,Both,"CAT, MC + scenario-based, ~100 items, 120 min",CC (content updated 2024 with AI),2022,https://www.isc2.org/certifications/cc/cc-certification-exam-outline,5 domains,verify,verify,verify,no,yes,yes (1 pt),verify,yes,"Free exam + free self-paced training. Launched 2022. Strong HS entry. Low Ohio points (1 pt) despite industry recognition."
ec-council-ceh,EC-Council Certified Ethical Hacker (CEH),EC-Council,Digital Technology,Network Systems & Cybersecurity,,PS,"CBT, 125 MC items, 4 hrs",312-50v13 (CEH v13),2024-09,https://www.eccouncil.org/train-certify/certified-ethical-hacker-certification/,20 modules,verify,verify,verify,yes (as Ethical Hacking Associate),verify,yes (12 pt),verify,no,"High Ohio IRC (12 pt). Expensive (~$1200). PS-dominant. NY lists 'Ethical Hacking Associate' (EC-Council Academia version)."
ec-council-cct,EC-Council Certified Cybersecurity Technician (CCT),EC-Council,Digital Technology,Network Systems & Cybersecurity,,Both,"CBT, 50 MC + 10 hands-on (CTF-style), 185 min, pass 60-85%",212-82,2022,https://www.eccouncil.org/train-certify/certified-cybersecurity-technician-certification/,~85 labs,verify,verify,verify,verify,verify,verify,verify,maybe,"Entry-level; vendor-neutral. Performance-based component strong for CTE. Newer (2022). Verify state adoption."
cisco-ccst-networking,Cisco CCST Networking,Cisco,Digital Technology,Network Systems & Cybersecurity,,Both,"CBT, ~40 items, 50 min",CCST Networking,2023,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/support-technician/index.html,~30-40,yes,verify,yes,verify,yes,yes (6 pt),verify,yes,"Entry-level networking. Launched 2023. Steps to CCNA. 5-year validity. Delivered via Certiport for academic."
cisco-ccst-cybersecurity,Cisco CCST Cybersecurity,Cisco,Digital Technology,Network Systems & Cybersecurity,,Both,"CBT, ~40 items, 50 min",CCST Cybersecurity (100-160),2023,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/support-technician/index.html,~30-40,yes,verify,yes,verify,yes,yes (6 pt),verify,yes,"Entry-level cybersecurity. Launched 2023. Steps to CyberOps Associate. Growing rapidly."
