credential_id,domain_code,domain_name,domain_weight_pct,objective_code,objective_statement
ms-ai-900,1.0,Describe Artificial Intelligence workloads and considerations,18,1.1,"Identify features of common AI workloads (computer vision, natural language processing, document processing, generative AI)"
ms-ai-900,1.0,Describe Artificial Intelligence workloads and considerations,18,1.2,"Identify guiding principles for responsible AI (fairness, reliability and safety, privacy and security, inclusiveness, transparency, accountability)"
ms-ai-900,2.0,Describe fundamental principles of machine learning on Azure,18,2.1,"Identify common machine learning techniques (regression, classification, clustering, deep learning, Transformer architecture)"
ms-ai-900,2.0,Describe fundamental principles of machine learning on Azure,18,2.2,"Describe core machine learning concepts (features and labels in a dataset, training and validation datasets)"
ms-ai-900,2.0,Describe fundamental principles of machine learning on Azure,18,2.3,"Describe Azure Machine Learning capabilities (automated machine learning, data and compute services for data science, model management and deployment)"
ms-ai-900,3.0,Describe features of computer vision workloads on Azure,18,3.1,"Identify common types of computer vision solution (image classification, object detection, optical character recognition, facial detection and facial analysis)"
ms-ai-900,3.0,Describe features of computer vision workloads on Azure,18,3.2,"Identify Azure tools and services for computer vision tasks (Azure AI Vision service, Azure AI Face detection service)"
ms-ai-900,4.0,Describe features of Natural Language Processing (NLP) workloads on Azure,18,4.1,"Identify features of common NLP workload scenarios (key phrase extraction, entity recognition, sentiment analysis, language modeling, speech recognition and synthesis, translation)"
ms-ai-900,4.0,Describe features of Natural Language Processing (NLP) workloads on Azure,18,4.2,"Identify Azure tools and services for NLP workloads (Azure AI Language service, Azure AI Speech service)"
ms-ai-900,5.0,Describe features of generative AI workloads on Azure,23,5.1,"Identify features of generative AI solutions (generative AI models, common scenarios for generative AI, responsible AI considerations for generative AI)"
ms-ai-900,5.0,Describe features of generative AI workloads on Azure,23,5.2,"Identify generative AI services and capabilities in Microsoft Azure (Azure AI Foundry, Azure OpenAI service, Azure AI Foundry model catalog)"
