# Vocabulary — ethics-of-technology-in-healthcare
# atom_id: ethics-of-technology-in-healthcare
# atom_serial: HHS-PH-0009
# sidecar: vocabulary
# status: ai-draft
# author: claude
# term_count: 13
#
# Terms are pinned to the two LO parts:
#   1. Discuss ethical issues raised by emerging healthcare technology
#      (AI, genomics, telehealth, wearables, end-of-life)
#   2. Apply ethical principles to evaluate them (the four principles)
# Plus two cross-cutting terms (algorithmic bias, digital divide) that
# the stub's bullets name explicitly.
#
# Technical deep-dives (how a neural net works, CRISPR mechanism, state-
# specific advance-directive law, deontology vs. consequentialism theory)
# belong in CS, biotech, legal, and professional-ethics atoms.
term,definition,part_of_speech,example,source_key,related_atoms,difficulty
autonomy,The ethical principle that a patient has the right to make informed decisions about their own body and care.,noun,Autonomy is threatened when an AI decides a treatment plan without the patient understanding why.,Beauchamp-Childress,professional-ethics-in-healthcare,2
beneficence,The ethical principle of acting for the patient's benefit.,noun,A telehealth program that reaches rural patients who had no nearby clinic serves beneficence.,Beauchamp-Childress,professional-ethics-in-healthcare,2
non-maleficence,"The ethical principle of ""first, do no harm"" — avoiding actions that injure the patient.",compound,A wearable that raises false alarms night after night violates non-maleficence by causing anxiety.,Beauchamp-Childress,professional-ethics-in-healthcare,2
justice,"The ethical principle of fair distribution of benefits, risks, and access.",noun,Justice asks who can afford the new technology and who is left out.,Beauchamp-Childress,professional-ethics-in-healthcare,2
algorithmic bias,"A pattern in which an AI system performs worse for some groups because its training data under-represented them or encoded historical inequities.",compound,Algorithmic bias in a skin-cancer app can mean lower accuracy for darker skin tones.,WHO-AIEthics,,2
informed consent,"The process of explaining a procedure, test, or data use to a patient in terms they understand, so they can agree or refuse.",compound,"Informed consent for a genetic test covers what is tested, who sees the result, and what it may reveal about relatives.",Beauchamp-Childress,professional-ethics-in-healthcare,2
genetic discrimination,"Treating someone less favorably — in hiring, insurance, or other decisions — because of their genetic information.",compound,"GINA blocks genetic discrimination in health insurance and employment, but not in life or long-term-care insurance.",GINA-Law,,2
telehealth,The delivery of clinical care by phone or video rather than in person.,noun,Telehealth expanded access during the pandemic but exposed a digital divide for patients without broadband.,ATA-Telehealth,,1
digital divide,"The gap between people who have reliable internet, devices, and digital skills and people who do not.",compound,The digital divide turns a telehealth benefit into an access inequity for rural and low-income patients.,ATA-Telehealth,,2
wearable,"A consumer health device, like a smartwatch or ring, that continuously collects body data such as heart rate or sleep.",noun,A wearable that shares step counts with an employer wellness program raises privacy questions.,FDA-AIML,,1
advance directive,"A written document in which a person states the medical care they want — or do not want — if they cannot speak for themselves.",compound,An advance directive can say a patient does not want to be kept alive by a ventilator past a certain point.,Hastings-EOL,,2
life-sustaining technology,"Medical technology — such as ventilators, ECMO, or artificial nutrition — that keeps a patient alive when their body cannot do so on its own.",compound,"Life-sustaining technology can extend life, but it can also extend dying past what the patient would have wanted.",Hastings-EOL,,2
accountability,Clear assignment of who is responsible when a decision — human or machine-made — produces harm.,noun,Accountability for an AI diagnostic error is contested: the developer? the hospital? the clinician who trusted it?,WHO-AIEthics,,2
