# Vocabulary — fire-and-emergency-safety
# atom_id: fire-and-emergency-safety
# atom_serial: HHS-PH-0010
# sidecar: vocabulary
# status: ai-draft
# author: claude
# term_count: 12
term,definition,part_of_speech,example,source_key,related_atoms,difficulty
RACE,"A four-step response protocol for a fire in a healthcare setting: Rescue, Alarm, Contain, and Extinguish or Evacuate.",abbreviation,"At the first sign of smoke in the patient room, the nurse ran RACE in order, starting by moving the patient to the hallway.",TJC-EM,,1
PASS,"A four-step operating procedure for a portable fire extinguisher: Pull the pin, Aim at the base, Squeeze the handle, Sweep side-to-side.",abbreviation,"The aide used PASS on the small trash-can fire, aiming low and sweeping across the base of the flames.",OSHA-EAP,,1
pull station,"A wall-mounted manual alarm device that, when activated, sends a fire alarm signal to the building system.",compound,"Pulling the pull station is part of the Alarm step in RACE and should be done even after calling the overhead code.",NFPA-101,,1
emergency code,"A short phrase used over a facility intercom to alert staff to a specific emergency without alarming patients and visitors.",compound,"Each emergency code is paired with a standard first response that staff are expected to know.",TJC-EM,,1
Code Red,The emergency code most commonly used to announce an active fire or a report of smoke in a healthcare facility.,compound,"A Code Red overhead page is the cue to run RACE, even before you can see the fire yourself.",TJC-EM,,1
Code Blue,The emergency code most commonly used to announce a cardiac or respiratory arrest requiring immediate resuscitation.,compound,"When a Code Blue is called, the resuscitation team converges on the room while unit staff clear the hallway.",TJC-EM,,1
defend-in-place,"A healthcare evacuation strategy that moves at-risk patients only as far as the nearest safe smoke compartment rather than out of the building.",compound,"Because most hospital patients cannot walk out, defend-in-place is the default strategy under NFPA 101.",NFPA-101,,2
smoke compartment,"A section of a healthcare building separated from adjacent sections by fire- and smoke-rated barriers and self-closing doors.",compound,"Moving a bedbound patient one smoke compartment away usually puts them in a safer zone than attempting to leave the building.",NFPA-101,,2
horizontal evacuation,Moving patients sideways through the building to the next smoke compartment on the same floor rather than down stairs.,compound,"Horizontal evacuation is attempted first because stairwells are slow and hard for non-ambulatory patients.",NFPA-101,,2
vertical evacuation,Moving patients down stairwells to a lower floor or out of the building when horizontal options are not safe.,compound,"Vertical evacuation is a last-resort step because it is slow and risky for bedbound patients.",NFPA-101,,2
oxygen shutoff valve,"A manual valve on a medical-gas line that cuts oxygen flow to a room, zone, or floor.",compound,"Staff should know where the oxygen shutoff valve is before a fire, not during one.",NFPA-HealthcareFire,,2
incident report,"A written record of an adverse event, near-miss, or safety concern used to drive system improvement rather than assign blame.",compound,"Even a small trash-can fire that was put out by one staff member gets an incident report so the facility can look for patterns.",CMS-EmergencyPrep,,1
