credential_id,domain_code,domain_name,domain_weight_pct,objective_code,objective_statement
certiport-its-data-analytics,1.0,Data Basics,16,1.1,Define the concept of data
certiport-its-data-analytics,1.0,Data Basics,16,1.2,"Describe basic data variable types (Boolean, numeric, string)"
certiport-its-data-analytics,1.0,Data Basics,16,1.3,"Describe basic structures used in data analytics (Tables, rows, columns, lists)"
certiport-its-data-analytics,1.0,Data Basics,16,1.4,"Describe data categories (Qualitative, quantitative, structured, unstructured, metadata, big data)"
certiport-its-data-analytics,2.0,Data Manipulation,23,2.1,"Import, store, and export data (Fundamental understanding of ETL extract transform and load processes, data manipulation tools including SQL R Python Microsoft Excel with aspects of Power Query, common data storage file formats)"
certiport-its-data-analytics,2.0,Data Manipulation,23,2.2,"Clean data (Purpose and common practices including handling NULL values, special characters, trimming spaces, inconsistent formatting, removing duplicates, imputing data, validating data)"
certiport-its-data-analytics,2.0,Data Manipulation,23,2.3,"Organize data (Purpose and common practices including sorting, filtering, slicing, transposing, appending, truncating)"
certiport-its-data-analytics,2.0,Data Manipulation,23,2.4,"Aggregate data (Purpose and common practices including grouping, joining/merging, summarizing, pivoting)"
certiport-its-data-analytics,3.0,Data Analysis,28,3.1,"Describe and differentiate between types of data analysis (Descriptive, diagnostic, hypothesis testing, predictive, prescriptive)"
certiport-its-data-analytics,3.0,Data Analysis,28,3.2,"Describe and differentiate between data aggregation and interpretation metrics (Sum, Max, Min, Count, Avg/Mean, Mode, Median, Std Dev)"
certiport-its-data-analytics,3.0,Data Analysis,28,3.3,"Describe and differentiate between exploratory data analysis methods (Data relationships, drilling concepts, mining concepts including anomalies correlation patterns outliers)"
certiport-its-data-analytics,3.0,Data Analysis,28,3.4,"Evaluate and explain results of data analyses (Trends, expected values, predictive model results, p-values, t-tests, regression analyses)"
certiport-its-data-analytics,3.0,Data Analysis,28,3.5,"Define and describe the role of artificial intelligence in data analysis (AI, machine learning, algorithms and their application in analytics)"
certiport-its-data-analytics,4.0,Data Visualization and Communication,17,4.1,Report data (Effectively display information in tables and charts; explain when and why to disaggregate data)
certiport-its-data-analytics,4.0,Data Visualization and Communication,17,4.2,"Create visualizations from data (Identify visualization practices that minimize misinterpretation; select appropriate chart types for comparison trend part-to-whole relationship distribution correlation; box-whisker, scatter, bar, Sankey, histogram, pie, column charts)"
certiport-its-data-analytics,4.0,Data Visualization and Communication,17,4.3,Derive conclusions from data visualization (Translate visual representations into language; identify differences between claims and graphical representations)
certiport-its-data-analytics,5.0,Responsible Analytics Practices,16,5.1,"Describe data privacy laws and best practices (GDPR, FERPA, HIPAA, IRB, PCI)"
certiport-its-data-analytics,5.0,Responsible Analytics Practices,16,5.2,"Describe best practices for responsible data handling (Methods of handling PII, securing data, protecting anonymity within small data sets)"
certiport-its-data-analytics,5.0,Responsible Analytics Practices,16,5.3,"Given a scenario, describe types of bias that affect collection and interpretation of data (Confirmation bias, human cognitive bias, motivational bias, sampling bias; visualization selection to avoid bias)"
