credential_id,exam,domain_code,domain_name,domain_weight_pct,objective_code,objective_statement
comptia-security-plus,SY0-701,1.0,General Security Concepts,12,1.1,Compare and contrast various types of security controls
comptia-security-plus,SY0-701,1.0,General Security Concepts,12,1.2,Summarize fundamental security concepts
comptia-security-plus,SY0-701,1.0,General Security Concepts,12,1.3,Explain the importance of change management processes and the impact to security
comptia-security-plus,SY0-701,1.0,General Security Concepts,12,1.4,Explain the importance of using appropriate cryptographic solutions
comptia-security-plus,SY0-701,2.0,Threats Vulnerabilities and Mitigations,22,2.1,Compare and contrast common threat actors and motivations
comptia-security-plus,SY0-701,2.0,Threats Vulnerabilities and Mitigations,22,2.2,Explain common threat vectors and attack surfaces
comptia-security-plus,SY0-701,2.0,Threats Vulnerabilities and Mitigations,22,2.3,Explain various types of vulnerabilities
comptia-security-plus,SY0-701,2.0,Threats Vulnerabilities and Mitigations,22,2.4,Given a scenario analyze indicators of malicious activity
comptia-security-plus,SY0-701,2.0,Threats Vulnerabilities and Mitigations,22,2.5,Explain the purpose of mitigation techniques used to secure the enterprise
comptia-security-plus,SY0-701,3.0,Security Architecture,18,3.1,Compare and contrast security implications of different architecture models
comptia-security-plus,SY0-701,3.0,Security Architecture,18,3.2,Given a scenario apply security principles to secure enterprise infrastructure
comptia-security-plus,SY0-701,3.0,Security Architecture,18,3.3,Compare and contrast concepts and strategies to protect data
comptia-security-plus,SY0-701,3.0,Security Architecture,18,3.4,Explain the importance of resilience and recovery in security architecture
comptia-security-plus,SY0-701,4.0,Security Operations,28,4.1,Given a scenario apply common security techniques to computing resources
comptia-security-plus,SY0-701,4.0,Security Operations,28,4.2,Explain the security implications of proper hardware software and data asset management
comptia-security-plus,SY0-701,4.0,Security Operations,28,4.3,Explain various activities associated with vulnerability management
comptia-security-plus,SY0-701,4.0,Security Operations,28,4.4,Explain security alerting and monitoring concepts and tools
comptia-security-plus,SY0-701,4.0,Security Operations,28,4.5,Given a scenario modify enterprise capabilities to enhance security
comptia-security-plus,SY0-701,4.0,Security Operations,28,4.6,Given a scenario implement and maintain identity and access management
comptia-security-plus,SY0-701,4.0,Security Operations,28,4.7,Explain the importance of automation and orchestration related to secure operations
comptia-security-plus,SY0-701,4.0,Security Operations,28,4.8,Explain appropriate incident response activities
comptia-security-plus,SY0-701,4.0,Security Operations,28,4.9,Given a scenario use data sources to support an investigation
comptia-security-plus,SY0-701,5.0,Security Program Management and Oversight,20,5.1,Summarize elements of effective security governance
comptia-security-plus,SY0-701,5.0,Security Program Management and Oversight,20,5.2,Explain elements of the risk management process
comptia-security-plus,SY0-701,5.0,Security Program Management and Oversight,20,5.3,Explain the processes associated with third-party risk assessment and management
comptia-security-plus,SY0-701,5.0,Security Program Management and Oversight,20,5.4,Summarize elements of effective security compliance
comptia-security-plus,SY0-701,5.0,Security Program Management and Oversight,20,5.5,Explain types and purposes of audits and assessments
comptia-security-plus,SY0-701,5.0,Security Program Management and Oversight,20,5.6,Given a scenario implement security awareness practices
