credential_id,domain_code,domain_name,domain_weight_pct,objective_code,objective_statement
certiport-its-artificial-intelligence,1.0,AI Problem Definition,22,1.1,"Identify the problem to solve using AI (Recognize the need being addressed, Determine input/output expectations, Assess whether AI is appropriate, Evaluate advantages and disadvantages, Define measurable success, Benchmark against organizational risks)"
certiport-its-artificial-intelligence,1.0,AI Problem Definition,22,1.2,"Classify the problem type (Examine available data characteristics, Determine problem type such as classifier regression unsupervised or reinforcement)"
certiport-its-artificial-intelligence,1.0,AI Problem Definition,22,1.3,"Identify required expertise areas (Business expertise needs, Domain/subject-matter expertise, AI expertise requirements, Implementation expertise)"
certiport-its-artificial-intelligence,1.0,AI Problem Definition,22,1.4,"Build a security plan (Assess access levels and permissions, Evaluate infrastructure security, Assess the risk of using a certain model or potential attack surfaces)"
certiport-its-artificial-intelligence,1.0,AI Problem Definition,22,1.5,"Ensure appropriate AI use (Identify potential ways that the AI can mispredict or harm specific user groups, Establish data gathering guidelines, Set algorithm selection criteria, Consider data subject interpretation, Guard against out-of-context results)"
certiport-its-artificial-intelligence,1.0,AI Problem Definition,22,1.6,"Choose transparency and validation activities (Communicate intended purpose of data collection, Determine appropriate result visibility, Review industry-specific legal requirements)"
certiport-its-artificial-intelligence,2.0,"Data Collection, Processing, and Engineering",27,2.1,"Choose data collection methods (Determine data type and characteristics needed, Decide between existing vs new datasets, Decide whether collection can be automated or requires user input)"
certiport-its-artificial-intelligence,2.0,"Data Collection, Processing, and Engineering",27,2.2,"Assess data quality (Determine if dataset meets needs of task, Identify missing or corrupt elements)"
certiport-its-artificial-intelligence,2.0,"Data Collection, Processing, and Engineering",27,2.3,"Ensure data representativeness (Examine collection techniques for bias sources, Verify sufficient data for unbiased modeling)"
certiport-its-artificial-intelligence,2.0,"Data Collection, Processing, and Engineering",27,2.4,"Identify resource requirements (Assess solvability with available computing resources, Consider project budget and available resources)"
certiport-its-artificial-intelligence,2.0,"Data Collection, Processing, and Engineering",27,2.5,"Convert data to suitable formats (Convert data to binary such as images becoming pixels, Convert computer data into features suitable for AI such as sentences becoming tokens)"
certiport-its-artificial-intelligence,2.0,"Data Collection, Processing, and Engineering",27,2.6,"Select features for the AI model (Determine which features of data to include, Build initial feature vectors, Consult with subject-matter experts to confirm feature selection)"
certiport-its-artificial-intelligence,2.0,"Data Collection, Processing, and Engineering",27,2.7,"Engage in feature engineering (Review features and identify transformations, Create processed datasets)"
certiport-its-artificial-intelligence,2.0,"Data Collection, Processing, and Engineering",27,2.8,"Identify training and test data sets (Separate data appropriately, Ensure test set representativeness)"
