# Vocabulary — electronic-health-records-basics
# atom_id: electronic-health-records-basics
# atom_serial: HHS-PH-0008
# sidecar: vocabulary
# status: ai-draft
# author: claude
# term_count: 13
#
# Terms are pinned to the atom's three LO parts:
#   1. Describe what an EHR is
#   2. Navigate common chart sections
#   3. Apply safe-practice rules for documentation and access
# The EHR-vs-EMR distinction and interoperability framing anchor LO part 1.
# Problem list, progress note, flowsheet, and order anchor LO part 2 as
# named chart sections. Audit trail, role-based access, copy-paste error,
# alert fatigue, wrong-patient error, and patient portal anchor LO part 3
# (safe documentation and access). HIPAA-regulation specifics, FHIR/HL7
# payload details, and ICD/CPT coding live in other atoms.
term,definition,part_of_speech,example,source_key,related_atoms,difficulty
electronic health record,"A digital, longitudinal record of a patient's health information designed to be shared across providers and care settings.",compound,"An electronic health record follows the patient from the primary-care clinic to the emergency department to the specialist.",ONC-EHR,,1
electronic medical record,"A digital chart that lives inside one facility's system; the older, single-site precursor to the shareable EHR.",compound,"An electronic medical record captures what happened at one clinic, but does not travel with the patient to another provider.",ONC-EHR,,1
problem list,"The section of the chart that holds a patient's active and resolved diagnoses in one running list.",compound,"A clinician opens the problem list first to see what conditions the patient is being treated for.",TJC-Documentation,,1
progress note,"A dated, signed narrative entry that records what the clinician observed, thought, and did during one encounter.",compound,"Every visit produces at least one progress note that becomes part of the permanent record.",TJC-Documentation,,1
flowsheet,"A grid in the chart that records repeated measurements — vitals, intake/output, pain scores — across time.",noun,"Nurses record vital signs on a flowsheet so the whole team can see trends at a glance.",TJC-Documentation,,1
order,"A clinician's written instruction in the chart — for a medication, lab, imaging study, diet, or activity level — that other staff carry out.",noun,"An order for a chest X-ray routes automatically to radiology once the clinician signs it.",TJC-Documentation,,1
audit trail,"An automatic log that records which user opened, viewed, or changed each chart and when.",compound,"Because of the audit trail, every click in a patient's chart can be reviewed later.",HIPAA-Security,hipaa-and-patient-confidentiality,1
role-based access,"An access-control rule that grants each user only the chart permissions their job requires.",compound,"Role-based access means a registration clerk can update demographics but cannot view a progress note.",HIPAA-Security,hipaa-and-patient-confidentiality,1
copy-paste error,"A documentation mistake created when text carried forward from an older note no longer describes the current patient or visit.",compound,"A copy-paste error can leave last week's chest pain description inside today's note for a patient who has a new complaint.",ISMP-CopyPaste,,2
wrong-patient error,"A documentation or order mistake caused by entering information into the chart of a patient who is not the one in front of the clinician.",compound,"A wrong-patient error often starts when two charts are open at once and the clinician types into the wrong window.",AHRQ-EHR-Safety,,2
alert fatigue,"The decreased attention clinicians pay to pop-up warnings after seeing too many non-critical alerts in the EHR.",compound,"Alert fatigue sets in when the same low-value warning fires on every patient, so a real drug-interaction alert gets clicked past.",AHRQ-EHR-Safety,,2
patient portal,"A secure website or app that lets a patient read parts of their own EHR, message the care team, and view results.",compound,"Through the patient portal, a patient can read the same lab result the clinician is reading.",ONC-PatientAccess,,1
interoperability,"The ability of different EHR systems to exchange and use each other's patient data.",noun,"Interoperability is why a specialist across town can pull up the imaging already done at the primary-care clinic.",ONC-EHR,,2
