credential_id,name,issuer,cluster,sub_cluster,cross_cutting_tags,grade_band,exam_format,current_version,version_effective_date,objectives_source_url,objective_count,ca_approved,tx_ibc,fl_cape,ny_approved,pa_approved,oh_irc,il_approved,anchor_candidate,notes
ciw-web-foundations,CIW Web Foundations Associate,Certification Partners,Digital Technology,Web & Cloud,,HS,"CBT; ~90 items across 3 domains; 90 min; Pearson VUE",1D0-610,rolling,https://ciwcertified.com/credentialing/,~90 across 3 domains,verify,yes,yes,verify,yes,yes (4 pt),verify,yes,"Composite exam: Internet Business + Site Dev + Network Tech. $175. 3-year renewal. Most common web credential in U.S. CTE."
ciw-site-dev-assoc,CIW Site Development Associate,Certification Partners,Digital Technology,Web & Cloud,Digital Technology → Software Solutions,HS,"CBT; 30 items; 30 min; Pearson VUE",1D0-61B,rolling,https://ciwcertified.com/credentialing/,~30 across 5 topics,verify,yes,yes,verify,yes,yes (3 pt),verify,maybe,"HTML/CSS/web publishing. Can be standalone or part of Web Foundations composite. $175."
ciw-advanced-html5-css3,CIW Advanced HTML5 & CSS3 Specialist,Certification Partners,Digital Technology,Web & Cloud,Digital Technology → Software Solutions,Both,"CBT; 55 items; 75 min; MC + simulation; Pearson VUE",1D0-720,rolling,https://ciwcertified.com/credentialing/,~55,verify,yes,yes,verify,verify,yes (4 pt),verify,maybe,"First step in CIW Web & Mobile Design series. 72.73% passing. $175."
ciw-ui-designer,CIW User Interface Designer,Certification Partners,Digital Technology,Web & Cloud,Arts Entertainment & Design → Design & Digital Arts,Both,"CBT; 54 items; 75 min; Pearson VUE",1D0-621,2025-12,https://ciwcertified.com/credentialing/,~54,verify,yes,yes,verify,verify,yes (3 pt),verify,no,"Successor to CIW Web Design Specialist (1D0-520). UI/UX principles; wireframing. 74% passing. $175."
ciw-javascript,CIW JavaScript Specialist,Certification Partners,Digital Technology,Web & Cloud,Digital Technology → Software Solutions,Both,"CBT; 50-55 items; 75 min; MC + scenario; Pearson VUE",1D0-735,rolling,https://ciwcertified.com/credentialing/,~50-55,verify,yes,yes,verify,yes,yes (4 pt),verify,maybe,"DOM + events + forms + debugging. Cross-cuts Software Solutions. $175."
certiport-its-html-css,Certiport IT Specialist: HTML and CSS,Certiport (Pearson VUE),Digital Technology,Web & Cloud,Digital Technology → Software Solutions,HS,"CBT; 36-40 items; 50 min; proctored",ITS-301,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~35-40,verify,verify,yes,verify,verify,yes (1 pt),verify,yes,"Entry-level. Strong HS fit. Replaces MTA 98-383. 5-year validity. ~$100 voucher."
certiport-its-html5-app,Certiport IT Specialist: HTML5 Application Development,Certiport (Pearson VUE),Digital Technology,Web & Cloud,Digital Technology → Software Solutions,HS,"CBT; 36-40 items; 50 min; proctored",ITS-HTML5-AD,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~35-40,verify,verify,yes,verify,verify,yes (1 pt),verify,maybe,"HTML5 + CSS + JS for responsive apps. Replaces MTA 98-375. ~$100 voucher."
certiport-its-javascript,Certiport IT Specialist: JavaScript,Certiport (Pearson VUE),Digital Technology,Web & Cloud,Digital Technology → Software Solutions,HS,"CBT; 36-40 items; 50 min; proctored",ITS-302,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~35-40,verify,verify,yes,verify,verify,yes (1 pt),verify,maybe,"Entry JS. Replaces MTA 98-382. Cross-cuts Software Solutions. ~$100 voucher."
certiport-its-cloud,Certiport IT Specialist: Cloud Computing,Certiport (Pearson VUE),Digital Technology,Web & Cloud,,HS,"CBT; 36-40 items; 50 min; proctored",ITS-Cloud,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~35-40,verify,verify,yes,verify,verify,yes (1 pt),verify,yes,"Vendor-neutral cloud fundamentals. Strong HS entry. ~$100 voucher."
aws-cloud-practitioner,AWS Certified Cloud Practitioner,Amazon Web Services,Digital Technology,Web & Cloud,,Both,"CBT; 65 items; 90 min; MC + multiple-response; Pearson VUE",CLF-C02,2023-09,https://aws.amazon.com/certification/certified-cloud-practitioner/,~65 across 4 domains,verify,yes,yes,verify,yes,yes (4 pt),verify,yes,"$100. No prerequisites. Strongest HS-viable cloud credential. 700/1000 passing. 3-year validity."
