credential_id,name,issuer,cluster,sub_cluster,cross_cutting_tags,grade_band,exam_format,current_version,version_effective_date,objectives_source_url,objective_count,ca_approved,tx_ibc,fl_cape,ny_approved,pa_approved,oh_irc,il_approved,anchor_candidate,notes
ap-cs-a,AP Computer Science A,College Board,Digital Technology,Software Solutions,,HS,"Paper/digital; 42 MCQ (90 min) + 4 FRQ (90 min); scored 1-5",2025-26 revision,2025-09,https://apcentral.collegeboard.org/courses/ap-computer-science-a/exam,~42 MCQ + 4 FRQ,yes,yes,yes,yes,yes,yes,yes,yes,"Java-based. Unit 9 (Inheritance) removed for 2025-26. Score of 3+ = college credit. Gold-standard HS programming credential. Universally recognized."
ap-cs-principles,AP Computer Science Principles,College Board,Digital Technology,Software Solutions,,HS,"70 MCQ (120 min) + Create Performance Task; scored 1-5",2025-26,2025-09,https://apcentral.collegeboard.org/courses/ap-computer-science-principles/exam,~70 MCQ + project,yes,yes,yes,yes,yes,yes,yes,yes,"Language-agnostic. Broader than CSA. Includes CT and impact of computing. Universally recognized."
certiport-its-java,Certiport IT Specialist: Java,Certiport (Pearson VUE),Digital Technology,Software Solutions,,HS,"CBT; 35-45 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~35-45,unknown,yes,yes,unknown,unknown,yes (1 pt),unknown,yes,"SAS-endorsed. Entry-level Java. ~$100 voucher. 5-year validity. Designed ages 14+."
certiport-its-python,Certiport IT Specialist: Python,Certiport (Pearson VUE),Digital Technology,Software Solutions,Digital Technology → Data Science & AI,HS,"CBT; 33-43 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~33-43,unknown,yes,yes,unknown,unknown,yes (1 pt),unknown,yes,"SAS-endorsed. Cross-cuts DS/AI. ~$100 voucher. 5-year validity."
certiport-its-javascript,Certiport IT Specialist: JavaScript,Certiport (Pearson VUE),Digital Technology,Software Solutions,Digital Technology → Web & Cloud,HS,"CBT; 35-45 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~35-45,unknown,yes,yes,unknown,unknown,yes (1 pt),unknown,yes,"Entry-level JS. ~$100 voucher. 5-year validity."
certiport-its-html-css,Certiport IT Specialist: HTML and CSS,Certiport (Pearson VUE),Digital Technology,Software Solutions,Digital Technology → Web & Cloud,HS,"CBT; 35-45 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~35-45,unknown,yes,yes,unknown,unknown,yes (1 pt),unknown,yes,"Structure webpages with HTML; apply styles with CSS. ~$100 voucher. 5-year validity."
certiport-its-html5-app-dev,Certiport IT Specialist: HTML5 Application Development,Certiport (Pearson VUE),Digital Technology,Software Solutions,Digital Technology → Web & Cloud,HS,"CBT; 33-44 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~33-44,unknown,yes,yes,unknown,unknown,yes (1 pt),unknown,maybe,"Responsive web apps with HTML5/CSS/JS. Overlaps Web & Cloud. 5-year validity."
certiport-its-software-dev,Certiport IT Specialist: Software Development,Certiport (Pearson VUE),Digital Technology,Software Solutions,,HS,"CBT; 35-45 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/ITSpecialist/Certification/Certify.aspx,~35-45,unknown,yes,yes,unknown,unknown,yes (1 pt),unknown,yes,"Covers SDLC; OOP; programming fundamentals. ~$100 voucher. 5-year validity."
pcep-python,PCEP - Certified Entry-Level Python Programmer,Python Institute (OpenEDG),Digital Technology,Software Solutions,Digital Technology → Data Science & AI,HS,"CBT; 30 single/multi-select; 40 min; 70% passing",PCEP-30-02,rolling,https://pythoninstitute.org/pcep-exam-syllabus,~25 across 4 sections,unknown,yes,verify,unknown,unknown,yes (3 pt),unknown,yes,"$59. Entry Python. Cross-cuts DS/AI. No expiry."
pcap-python,PCAP - Certified Associate Python Programmer,Python Institute (OpenEDG),Digital Technology,Software Solutions,Digital Technology → Data Science & AI,Both,"CBT; 40 single/multi-select; 65 min; 70% passing",PCAP-31-03,rolling,https://pythoninstitute.org/pcap-exam-syllabus,~40,unknown,verify,verify,unknown,unknown,unknown,unknown,maybe,"$295. Intermediate Python incl. OOP. PCEP recommended prereq."
