credential_id,name,issuer,cluster,sub_cluster,cross_cutting_tags,grade_band,exam_format,current_version,version_effective_date,objectives_source_url,objective_count,ca_approved,tx_ibc,fl_cape,ny_approved,pa_approved,oh_irc,il_approved,anchor_candidate,notes
faa-part-107,FAA Part 107 Remote Pilot Certificate (sUAS),Federal Aviation Administration (FAA),Digital Technology,Unmanned Vehicle Technology,"Agriculture → Ag Tech & Automation; Arts Entertainment & Design → Media Production & Broadcasting; Construction → Construction Planning & Development; Energy & Natural Resources → Utilities; Public Service & Safety → Emergency Response; Supply Chain & Transportation → Air & Space Transportation",Both,"CBT, 60 MC (3 options each), 120 min, 70% passing, proctored at FAA Knowledge Testing Centers",14 CFR Part 107 (amended through 2021),2021-04,https://www.faa.gov/uas/commercial_operators/become_a_drone_pilot,~60-70 across 11 knowledge areas,verify,yes,verify,verify,verify,verify,verify,yes,"Flagship credential. Federal license for commercial sUAS. Age 16+. Recurrent training every 24 months. $175 exam. Cross-cutting across nearly every sector."
faa-trust,The Recreational UAS Safety Test (TRUST),FAA,Digital Technology,Unmanned Vehicle Technology,,HS,"Online, untimed, open-book, free",TRUST (est. 2021),2021-06,https://www.faa.gov/uas/recreational_flyers/knowledge_test_updates,~25-30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,"Mandatory for recreational UAS operators. Free, one-time, no expiration. NOT proctored — not suitable for CTE accountability. Good intro activity for 9th/10th grade."
usi-suas-safety-l1,USI Small UAS Safety Certification — Level 1,Unmanned Safety Institute (USI),Digital Technology,Unmanned Vehicle Technology,,HS,"Proctored, 70 MC, 90 min, 70% passing",Level 1,rolling,https://www.flyusi.org/suas-safety-level-1,~50-60 across 5 modules,verify,verify,verify,verify,verify,yes (6 pt),verify,yes,"ASTM-aligned. 150-hr prep course. Valid 24 months. Ohio IWIP recognized (CR67, 6 pts). ~$200-400 exam. Stackable with Level 2."
usi-suas-safety-l2,USI Small UAS Safety Certification — Level 2,Unmanned Safety Institute (USI),Digital Technology,Unmanned Vehicle Technology,,Both,"Proctored, 70 MC, 90 min, 70% passing",Level 2,rolling,https://www.flyusi.org/suas-safety-level-2,~50-60,verify,verify,verify,verify,verify,yes,verify,maybe,"Builds on Level 1. Advanced operations and risk assessment. Ohio IWIP recognized. 11th-12th grade or PS."
usi-vso-ground,USI Visual Line of Sight Systems Operations — Ground School,Unmanned Safety Institute (USI),Digital Technology,Unmanned Vehicle Technology,,Both,Proctored exam + coursework,VSO Ground,rolling,https://www.flyusi.org/education,varies,verify,verify,verify,verify,verify,yes (6 pt),verify,no,"Ohio IWIP recognized (CR69, 6 pts). Ohio TechCred eligible. Prerequisite for VSO Flight Training."
usi-vso-flight,USI Visual Line of Sight Systems Operations — Flight Training,Unmanned Safety Institute (USI),Digital Technology,Unmanned Vehicle Technology,,Both,Practical flight assessment + coursework,VSO Flight,rolling,https://www.flyusi.org/education,varies,verify,verify,verify,verify,verify,yes (6 pt),verify,no,"Ohio IWIP recognized (CR68, 6 pts). Requires in-person flight training (3-day sessions). ~$2000 full VSO program."
auvsi-top-l1,AUVSI Trusted Operator Program (TOP) — Level 1,AUVSI,Digital Technology,Unmanned Vehicle Technology,"Public Service & Safety → Emergency Response; Construction → Equipment Operation & Maintenance",Both,"Online coursework + assessment; no flight assessment at L1",TOP Level 1,rolling,https://www.auvsi.org/certification-training/trusted-operator-uas/,~30-40,verify,verify,verify,verify,verify,verify,verify,maybe,"Prerequisite: current Part 107. ~$499 via Embry-Riddle. Over 2500 certificates issued. Insurance benefits."
auvsi-top-l2,AUVSI Trusted Operator Program (TOP) — Level 2,AUVSI,Digital Technology,Unmanned Vehicle Technology,"Energy & Natural Resources → Utilities; Construction → Equipment Operation & Maintenance",PS,"Online + mandatory in-person Practical Flight Assessment",TOP Level 2,rolling,https://www.auvsi.org/certification-training/trusted-operator-uas/,~30-40,verify,verify,verify,verify,verify,verify,verify,no,"Prerequisite: TOP L1. Waiver operations near infrastructure. ~$599. PS-dominant."
auvsi-top-l3,AUVSI Trusted Operator Program (TOP) — Level 3,AUVSI,Digital Technology,Unmanned Vehicle Technology,"Energy & Natural Resources → Resource Extraction; Public Service & Safety → Emergency Response",PS,"Online + mandatory PFA; recertification every 2 yrs",TOP Level 3,rolling,https://www.auvsi.org/certification-training/trusted-operator-uas/,~30-40,verify,verify,verify,verify,verify,verify,verify,no,"Prerequisite: TOP L1+L2. Safety-critical operations. ~$599. Strictly PS/workforce."
dji-enterprise-cert,DJI Enterprise Certification,DJI (via UTC/RMUS),Digital Technology,Unmanned Vehicle Technology,,PS,"12 hrs online + 2 days in-person + flight exam",DJI Enterprise,rolling,https://enterprise.dji.com/news/detail/how-to-become-a-professional-drone-pilot,~8-10 competency areas,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,"Manufacturer-specific (OEM). 8 U.S. training centers. Not on any state CTE list."
