standard_code,course_name,course_code,grade_band,standard_text,framework_version,notes
IT-FAI-1.1,Foundations of Artificial Intelligence,11.44300,HS,"Communicate effectively through writing, speaking, listening, reading, and interpersonal abilities.",2021-03-04,
IT-FAI-1.2,Foundations of Artificial Intelligence,11.44300,HS,Demonstrate creativity by asking challenging questions and applying innovative procedures and methods.,2021-03-04,
IT-FAI-1.3,Foundations of Artificial Intelligence,11.44300,HS,"Exhibit critical thinking and problem-solving skills to locate, analyze and apply information in career planning and employment situations.",2021-03-04,
IT-FAI-1.4,Foundations of Artificial Intelligence,11.44300,HS,"Model work readiness traits required for success in the workplace including integrity, honesty, accountability, punctuality, time management, and respect for diversity.",2021-03-04,
IT-FAI-1.5,Foundations of Artificial Intelligence,11.44300,HS,"Apply the appropriate skill sets to be productive in a changing, technological, diverse workplace to be able to work independently and apply teamwork skills.",2021-03-04,
IT-FAI-1.6,Foundations of Artificial Intelligence,11.44300,HS,"Present a professional image through appearance, behavior, and language.",2021-03-04,
IT-FAI-2.1,Foundations of Artificial Intelligence,11.44300,HS,Define artificial intelligence and reflect on its current state.,2021-03-04,
IT-FAI-2.2,Foundations of Artificial Intelligence,11.44300,HS,Describe the history and evolution of artificial intelligence over time.,2021-03-04,
IT-FAI-2.3,Foundations of Artificial Intelligence,11.44300,HS,Identify important early examples of Artificial Intelligence and contributors to Artificial Intelligence development.,2021-03-04,
IT-FAI-2.4,Foundations of Artificial Intelligence,11.44300,HS,"Describe how Artificial Intelligence could be used to solve problems, including historical, current, and future problems.",2021-03-04,
IT-FAI-3.1,Foundations of Artificial Intelligence,11.44300,HS,"Identify and describe current examples of Artificial Intelligence applications in everyday life (e.g., gaming, social media, virtual assistants, email, online shopping, travel, art, smartphones, etc.).",2021-03-04,
IT-FAI-3.2,Foundations of Artificial Intelligence,11.44300,HS,Identify and describe Artificial Intelligence technologies students interact with frequently and determine what problems and/or needs the Artificial Intelligence is intended to solve.,2021-03-04,
IT-FAI-3.3,Foundations of Artificial Intelligence,11.44300,HS,"Discuss how Artificial Intelligence is and could be used to enhance areas of student interest, real-world problems, business needs, and the future of work.",2021-03-04,
IT-FAI-3.4,Foundations of Artificial Intelligence,11.44300,HS,Identify and analyze how Artificial Intelligence is impacting art and other creative fields.,2021-03-04,
IT-FAI-3.5,Foundations of Artificial Intelligence,11.44300,HS,"Define critical and contemporary areas of Artificial Intelligence (e.g., machine learning, natural language processing, computer vision).",2021-03-04,
IT-FAI-3.6,Foundations of Artificial Intelligence,11.44300,HS,"Investigate how machines can be trained to recognize data and distinguish between two different classes by using a web tool that trains a machine learning model without coding (e.g., Google Teachable Machine, Weka).",2021-03-04,
IT-FAI-4.1,Foundations of Artificial Intelligence,11.44300,HS,"Define, explain, and apply the building blocks of algorithms: sequencing, selection, iteration.",2021-03-04,
IT-FAI-4.2,Foundations of Artificial Intelligence,11.44300,HS,Modify and create an algorithm to solve a problem.,2021-03-04,
IT-FAI-4.3,Foundations of Artificial Intelligence,11.44300,HS,Evaluate algorithms analytically and empirically.,2021-03-04,
IT-FAI-4.4,Foundations of Artificial Intelligence,11.44300,HS,Use an algorithm to create a program.,2021-03-04,
IT-FAI-4.5,Foundations of Artificial Intelligence,11.44300,HS,"Define, explain, and apply the ideas of decomposition, abstraction, data types (integer, string, Boolean, list/array), branches (if, then, else), iteration (for loop, while loop), event driven.",2021-03-04,
IT-FAI-4.6,Foundations of Artificial Intelligence,11.44300,HS,"Define different programming paradigms (e.g., functional, object-oriented, procedural, logic).",2021-03-04,
IT-FAI-4.7,Foundations of Artificial Intelligence,11.44300,HS,Describe the principles of object-oriented programming.,2021-03-04,
IT-FAI-4.8,Foundations of Artificial Intelligence,11.44300,HS,Create a program that implements loops and conditionals.,2021-03-04,
IT-FAI-4.9,Foundations of Artificial Intelligence,11.44300,HS,Create a program that accepts user and sensor input to make a decision.,2021-03-04,
IT-FAI-4.10,Foundations of Artificial Intelligence,11.44300,HS,Create a program that collects and organizes different data types.,2021-03-04,
IT-FAI-4.11,Foundations of Artificial Intelligence,11.44300,HS,Define and implement comments in code to document the program.,2021-03-04,
IT-FAI-4.12,Foundations of Artificial Intelligence,11.44300,HS,Trace code and debug problems in programs.,2021-03-04,
IT-FAI-4.13,Foundations of Artificial Intelligence,11.44300,HS,Define UX (user experience) and explain why it must be considered when programming.,2021-03-04,
IT-FAI-5.1,Foundations of Artificial Intelligence,11.44300,HS,"Identify the different kinds of data we collect and share as Internet users (e.g., images, videos, texts, purchasing information, site history, etc.).",2021-03-04,
IT-FAI-5.2,Foundations of Artificial Intelligence,11.44300,HS,"Define the most basic types of data that computers use (e.g., numeric, text, dates, graphics, sound).",2021-03-04,
IT-FAI-5.3,Foundations of Artificial Intelligence,11.44300,HS,"Distinguish between data and information (e.g., data requires context to be information).",2021-03-04,
IT-FAI-5.4,Foundations of Artificial Intelligence,11.44300,HS,Describe and construct a simple model of the data processing cycle (input-processing-output).,2021-03-04,
IT-FAI-5.5,Foundations of Artificial Intelligence,11.44300,HS,Summarize how computers store data using bits (binary digits).,2021-03-04,
IT-FAI-5.6,Foundations of Artificial Intelligence,11.44300,HS,Define Big Data and describe how it is used in Artificial Intelligence.,2021-03-04,
IT-FAI-5.7,Foundations of Artificial Intelligence,11.44300,HS,Describe how Artificial Intelligence uses data to make predictions or decisions.,2021-03-04,
IT-FAI-5.8,Foundations of Artificial Intelligence,11.44300,HS,"Define logic and summarize its use in programming, including Artificial Intelligence.",2021-03-04,
IT-FAI-6.1,Foundations of Artificial Intelligence,11.44300,HS,Select and organize different types of data using spreadsheet tools.,2021-03-04,
IT-FAI-6.2,Foundations of Artificial Intelligence,11.44300,HS,Define and implement basic preset spreadsheet function to organize and manipulate data.,2021-03-04,
IT-FAI-6.3,Foundations of Artificial Intelligence,11.44300,HS,Create tables and graphs to represent data visually using spreadsheets.,2021-03-04,
IT-FAI-6.4,Foundations of Artificial Intelligence,11.44300,HS,"Analyze data to construct informed summaries, decisions, or predictions related to the data.",2021-03-04,
IT-FAI-7.1,Foundations of Artificial Intelligence,11.44300,HS,"Define bias, perception, privacy, and accuracy in the context of Artificial Intelligence.",2021-03-04,
IT-FAI-7.2,Foundations of Artificial Intelligence,11.44300,HS,"Explore potential examples of bias using a web tool that trains a machine learning model without coding (e.g., Google Teachable Machine, Weka).",2021-03-04,
IT-FAI-7.3,Foundations of Artificial Intelligence,11.44300,HS,Describe and critique how ethics and philosophy explicitly and implicitly play a role in Artificial Intelligence applications.,2021-03-04,
IT-FAI-7.4,Foundations of Artificial Intelligence,11.44300,HS,Define and compare ethical and legal implications of Artificial Intelligence.,2021-03-04,
