atom_id,title,subcluster,credential_objectives,primary_teks,priority,status,notes
binary-number-systems,Binary and hexadecimal number systems,it-support-services,comptia-itf-plus::1.1|google-it-support::c1m1|google-it-support::c2m2,130.302-c5D,1,planned,Foundational — reused across multiple credentials
data-types-computing,Fundamental data types in computing,it-support-services,comptia-itf-plus::1.2,130.302-c9D,1,planned,
computing-model-iopsp,Input-Processing-Output-Storage computing model,it-support-services,comptia-itf-plus::1.3|google-it-support::c1m1,130.302-c4A,1,planned,
data-value-and-ip,Value of data and intellectual property,it-support-services,comptia-itf-plus::1.4,130.302-c13C,1,planned,
units-of-measure-computing,Units of measure in computing,it-support-services,comptia-itf-plus::1.5,130.303-c4H,2,planned,
troubleshooting-methodology,IT troubleshooting methodology,it-support-services,comptia-itf-plus::1.6|google-it-support::c1m6,130.303-c4D,1,planned,Core skill across all IT work
hardware-components-overview,Computer hardware components overview,it-support-services,comptia-itf-plus::2.1|google-it-support::c1m2,130.302-c4A,1,planned,
peripheral-devices,Connecting and configuring peripheral devices,it-support-services,comptia-itf-plus::2.2|comptia-a-plus::core1::3.7,130.302-c4C,1,planned,
internal-components,Internal computer components (motherboard CPU RAM BIOS),it-support-services,comptia-itf-plus::2.3|comptia-a-plus::core1::3.5|google-it-support::c1m2,130.303-c5A,1,planned,
internet-service-types,Internet connection service types,it-support-services,comptia-itf-plus::2.4|comptia-a-plus::core1::2.7|google-it-support::c2m5,130.303-c8A,1,planned,
storage-technologies,Storage technologies (HDD SSD NVMe cloud),it-support-services,comptia-itf-plus::2.5|comptia-a-plus::core1::3.4,130.303-c4H,1,planned,
computing-devices-overview,Computing devices (laptops servers IoT),it-support-services,comptia-itf-plus::2.6,130.303-c5B,2,planned,
mobile-device-hardware,Mobile device hardware and connectivity,it-support-services,comptia-a-plus::core1::1.1|comptia-a-plus::core1::1.2|comptia-a-plus::core1::1.3,130.303-c5B,1,planned,
networking-fundamentals,Networking fundamentals and protocols,it-support-services,comptia-itf-plus::2.7|comptia-a-plus::core1::2.5|google-it-support::c2m1,130.302-c6A,1,planned,
wireless-network-installation,Installing and securing wireless networks,it-support-services,comptia-itf-plus::2.8|comptia-a-plus::core1::2.6|google-it-support::c2m5,130.304-c8B,1,planned,
tcp-udp-protocols,TCP/UDP ports and protocols,it-support-services,comptia-a-plus::core1::2.1|google-it-support::c2m3,130.302-c6B,1,planned,
wireless-technologies,Wireless networking technologies,it-support-services,comptia-a-plus::core1::2.2,130.302-c6B,2,planned,
networked-host-services,Services provided by networked hosts,it-support-services,comptia-a-plus::core1::2.3,130.302-c6C,2,planned,
