credential_id,exam,domain_code,domain_name,domain_weight_pct,objective_code,objective_statement
cisco-ccst-networking,100-150,1.0,Standards and Concepts,20,1.1,Explain the concepts of network communication
cisco-ccst-networking,100-150,1.0,Standards and Concepts,20,1.2,Describe common networking models and protocols (OSI and TCP/IP)
cisco-ccst-networking,100-150,1.0,Standards and Concepts,20,1.3,Explain the use of ports and protocols
cisco-ccst-networking,100-150,2.0,Addressing and Subnet Formats,25,2.1,Identify IPv4 address types and their uses in a network
cisco-ccst-networking,100-150,2.0,Addressing and Subnet Formats,25,2.2,Identify IPv6 address types and their uses in a network
cisco-ccst-networking,100-150,2.0,Addressing and Subnet Formats,25,2.3,Calculate and verify subnet masks and address prefixes
cisco-ccst-networking,100-150,3.0,Endpoints and Media Types,20,3.1,Identify common endpoint devices and their network characteristics
cisco-ccst-networking,100-150,3.0,Endpoints and Media Types,20,3.2,Identify common network media types and their characteristics
cisco-ccst-networking,100-150,4.0,Infrastructure,15,4.1,Identify common types of network infrastructure and their attributes
cisco-ccst-networking,100-150,4.0,Infrastructure,15,4.2,Describe common network device characteristics and features (switches routers APs)
cisco-ccst-networking,100-150,5.0,Diagnosing Problems,10,5.1,Use a systematic methodology to diagnose network problems
cisco-ccst-networking,100-150,5.0,Diagnosing Problems,10,5.2,Demonstrate effective use of network diagnostic tools and commands
cisco-ccst-networking,100-150,6.0,Security,10,6.1,Describe security concepts and mechanisms applied to networks
cisco-ccst-networking,100-150,6.0,Security,10,6.2,Identify common network threats and mitigation techniques
