# Vocabulary — healthcare-careers-and-pathways
# atom_id: healthcare-careers-and-pathways
# atom_serial: HHS-PH-0013
# sidecar: vocabulary
# status: ai-draft
# author: claude
# term_count: 13
term,definition,part_of_speech,example,source_key,related_atoms,difficulty
career family,"A grouping of healthcare occupations that share a common purpose, such as nursing, diagnostic services, or health informatics.",compound,"The therapeutic services career family covers roles that treat patients directly, from physical therapists to respiratory therapists.",OnetOnline,,1
therapeutic services,"The career family of roles that change a patient's condition over time through direct treatment, such as nursing, therapy, and medicine.",compound,"Therapeutic services roles share a habit of working with patients over many visits rather than in a single encounter.",BLS-OOH,,1
diagnostic services,"The career family of roles that gather information to identify a condition, such as medical laboratory, imaging, and sonography roles.",compound,"A student who likes precise technical work often fits well in diagnostic services.",BLS-OOH,,1
health informatics,"The career family of roles that manage, analyze, and protect health data, including medical coders, health information technicians, and informatics analysts.",compound,"Health informatics grew quickly once electronic health records became the norm.",BLS-OOH,,1
support services,"The career family of roles that keep a healthcare facility running, including environmental services, central sterile, patient transport, and dietary staff.",compound,"Support services roles are often the fastest entry point into a hospital career.",BLS-OOH,,1
biotechnology,"The career family of research and laboratory roles that develop drugs, devices, diagnostics, and therapies, often in industry rather than at the bedside.",noun,"Biotechnology careers run on research skills and a strong science foundation rather than on patient contact.",BLS-OOH,,1
certificate,"A short postsecondary credential, often weeks to about a year, that qualifies someone for an entry-level healthcare role such as CNA or phlebotomist.",noun,"A phlebotomy certificate can be earned in a semester and is a common first step into a lab role.",BLS-OOH,,1
associate degree,"A two-year postsecondary degree; in healthcare, common routes include the associate degree in nursing (ADN) and many allied-health programs.",compound,"An associate degree in nursing lets a graduate sit for the RN licensure exam.",NCSBN-Pathways,,1
bachelor's degree,"A four-year postsecondary degree; for many healthcare roles it is either the entry requirement or the next step up from an associate route.",compound,"A BSN is the bachelor's degree in nursing and is increasingly preferred by hospital employers.",NCSBN-Pathways,,1
graduate degree,"A master's or doctoral degree earned after a bachelor's, required for roles such as nurse practitioner, physical therapist, pharmacist, or physician.",compound,"Most advanced-practice and physician roles require a graduate degree and a licensure exam.",AAMC-Careers,,1
stackable credential,"A credential that counts toward the next credential, letting a worker add education over time while working rather than earning it all at once.",compound,"The CNA-to-LVN-to-RN-to-BSN-to-NP ladder is a classic stackable credential pathway in nursing.",NCSBN-Pathways,,1
job outlook,"A projection of how much an occupation is expected to grow or shrink over the coming decade, published by the Bureau of Labor Statistics.",compound,"The job outlook for many healthcare roles is strong because of an aging population and rising chronic-disease burden.",BLS-OOH,,1
self-alignment,"The process of matching your own interests, strengths, and constraints to candidate career pathways so the plan is realistic rather than generic.",noun,"Self-alignment is the difference between ""healthcare is a growing field"" and ""this three-year plan is the one I will actually finish.""",OnetOnline,,1
