# Vocabulary — body-systems-overview
# atom_id: body-systems-overview
# atom_serial: HHS-PH-0004
# sidecar: vocabulary
# status: ai-draft
# author: claude
# term_count: 56
term,definition,part_of_speech,example,source_key,related_atoms,difficulty
organ system,A group of organs that work together to carry out a shared function.,noun,"The eleven organ systems are the building blocks of human anatomy.",Tortora §1.3,body-organization-and-directional-terms,1
homeostasis,The body's ability to keep its internal conditions stable despite changes outside.,noun,"Homeostasis breaks down when the body can't cool itself during heatstroke.",OpenStax §1.5,homeostasis-and-biological-processes,1
negative feedback,A control loop that reverses a change to bring a value back to its set point.,compound,"Shivering is a negative-feedback response to a drop in core temperature.",OpenStax §1.5,homeostasis-and-biological-processes,2
positive feedback,A control loop that amplifies a change rather than reversing it.,compound,"Uterine contractions during childbirth use positive feedback.",OpenStax §1.5,homeostasis-and-biological-processes,2
integumentary system,The organ system comprising skin, hair, and nails.,compound,"The integumentary system is the body's first line of defense against infection.",Tortora §1.3,,1
epidermis,The outer layer of the skin.,noun,"The epidermis thickens where the skin takes repeated pressure, forming calluses.",OpenStax §1.2,,1
dermis,The middle layer of the skin containing blood vessels, nerves, and glands.,noun,"A paper cut reaches the dermis when it starts to bleed.",OpenStax §1.2,,1
thermoregulation,The process of maintaining core body temperature.,noun,"Sweating is the body's main thermoregulation strategy in the heat.",OpenStax §1.5,,2
skeletal system,The organ system of bones, joints, and cartilage.,compound,"The skeletal system does more than hold you up — it also stores calcium.",Tortora §1.3,,1
bone remodeling,The ongoing process of breaking down and rebuilding bone tissue.,compound,"Bone remodeling is why a fracture can heal and why bones weaken without use.",NIA-Aging-Bone,,2
osteoporosis,A condition in which bones become weak and brittle due to lost density.,noun,"Osteoporosis raises the risk of hip fracture after age 65.",NIA-Aging-Bone,,2
muscular system,The organ system of skeletal, smooth, and cardiac muscle.,compound,"The muscular system generates movement, posture, and body heat.",Tortora §1.3,,1
skeletal muscle,Voluntary muscle attached to bone that produces movement.,compound,"Skeletal muscle is what you flex when you lift a backpack.",Marieb Ch. 1,,1
smooth muscle,Involuntary muscle found in organ walls and blood vessels.,compound,"Smooth muscle pushes food through the digestive tract.",Marieb Ch. 1,,2
cardiac muscle,Involuntary striated muscle found only in the heart.,compound,"Cardiac muscle contracts about 100,000 times a day without fatiguing.",OpenStax §19.4,,2
cardiovascular system,The organ system of the heart, blood, and blood vessels.,compound,"The cardiovascular system delivers oxygen to every cell and carries waste away.",Tortora §1.3,,1
cardiac output,The volume of blood the heart pumps per minute.,compound,"Cardiac output rises during exercise to meet muscle demand.",OpenStax §19.4,,3
artery,A blood vessel that carries blood away from the heart.,noun,"Arteries have thick walls to handle the pressure of each heartbeat.",OpenStax §1.2,,1
vein,A blood vessel that carries blood back to the heart.,noun,"Veins have valves to keep blood from flowing backward.",OpenStax §1.2,,1
capillary,The smallest blood vessel, where gases and nutrients exchange with tissues.,noun,"Oxygen leaves a capillary and diffuses into surrounding muscle cells.",OpenStax §1.2,,2
hypertension,Chronically high blood pressure.,noun,"Untreated hypertension damages the heart, kidneys, and eyes over years.",NIH-NHLBI-HBP,,2
lymphatic system,The organ system of lymph vessels, lymph nodes, and immune organs.,compound,"The lymphatic system returns leaked fluid to the bloodstream and fights infection.",Tortora §1.3,,1
lymph,A clear fluid that flows through lymph vessels carrying immune cells.,noun,"Lymph drains from tissue into nearby lymph nodes to be screened for pathogens.",CDC-Immune-Basics,,2
