# Vocabulary — conflict-resolution-in-healthcare
# atom_id: conflict-resolution-in-healthcare
# atom_serial: HHS-PH-0006
# sidecar: vocabulary
# status: ai-draft
# author: claude
# term_count: 12
term,definition,part_of_speech,example,source_key,related_atoms,difficulty
conflict style,"One of five recurring patterns a person uses when interests clash: avoid, accommodate, compete, compromise, or collaborate.",compound,"Choosing the right conflict style for the moment is as important as knowing the five styles exist.",Thomas-Kilmann,,2
collaborate,"A conflict style in which both parties work to meet each other's core interests by surfacing needs, options, and shared goals.",verb,"On a clinical team, collaborate is the default style because patient safety depends on everyone's input.",Thomas-Kilmann,,2
compromise,"A conflict style in which each party gives up something to reach a middle solution when time or stakes are moderate.",verb,"When two nurses both want the same lunch slot, they compromise by splitting the hour.",Thomas-Kilmann,,2
accommodate,"A conflict style in which one party sets aside their own preference to preserve the relationship or yield on a low-stakes issue.",verb,"You might accommodate a senior coworker's scheduling preference when the outcome barely affects you.",Thomas-Kilmann,,2
active listening,"Listening in a way that shows the speaker you understand, using attention, paraphrasing, and brief summaries before responding.",compound,"Active listening calms an upset family member faster than rushing to explain the medical plan.",AHRQ-CANDOR,therapeutic-communication,1
I statement,"A sentence that names your own feeling or observation without blaming the other person, typically framed as ""I feel X when Y.""",compound,"Using an I statement like ""I feel rushed when the vitals are called out while I'm charting"" keeps the door open.",ANA-Bullying,,2
de-escalation,"A set of verbal and nonverbal techniques used to lower the emotional intensity of a tense interaction before problem-solving.",noun,"De-escalation of an angry family starts with acknowledging the wait, not defending the schedule.",AHRQ-CANDOR,,2
CUS,"A TeamSTEPPS script for speaking up about a concern: ""I am Concerned, I am Uncomfortable, this is a Safety issue.""",abbreviation,"When the pharmacy tech double-checked and still saw the wrong dose, she used CUS to stop the line.",TeamSTEPPS,,2
two-challenge rule,"A TeamSTEPPS rule that when a first concern is ignored, the speaker repeats it once, and if still dismissed, escalates to a supervisor.",compound,"The two-challenge rule makes it safe for a junior staff member to persist when an order looks wrong.",TeamSTEPPS,,2
chain of command,"The ordered list of people a worker escalates to when a concern cannot be resolved at the current level.",compound,"If your charge nurse cannot address the issue, the chain of command routes you to the unit manager next.",TJC-Workplace,,2
disruptive behavior,"A pattern of interactions — rudeness, intimidation, refusal to engage — that undermines safe teamwork and must be reported, not tolerated.",compound,"A single bad day is not disruptive behavior, but a pattern of public put-downs over weeks is.",TJC-Workplace,,2
reframing,"Restating a complaint in neutral, problem-focused language to move the conversation from blame to a workable next step.",noun,"Reframing ""You never listen to me"" as ""We need a clearer handoff process"" changes what the team can solve.",AHRQ-CANDOR,therapeutic-communication,2
