# Vocabulary — healthcare-delivery-system-overview
# atom_id: healthcare-delivery-system-overview
# atom_serial: HHS-PH-0014
# sidecar: vocabulary
# status: ai-draft
# author: claude
# term_count: 13
term,definition,part_of_speech,example,source_key,related_atoms,difficulty
care setting,"A physical or virtual location where healthcare is delivered, such as a hospital, clinic, home, or telehealth visit; different settings match different levels of patient acuity.",compound,"Choosing the right care setting — urgent care versus the emergency department — is often the first decision a patient or family makes.",KFF-Overview,,1
acuity,"How sick or medically unstable a patient is at a given moment; higher acuity calls for more intensive settings and staff.",noun,"A patient with chest pain has higher acuity than a patient with a sprained ankle, so the two belong in different care settings.",,,1
primary care,"First-contact, continuing care that handles common problems, prevention, and coordination with specialists; usually delivered in an outpatient clinic.",compound,"A family physician, pediatrician, or nurse practitioner in primary care is often the hub that refers patients into and out of other settings.",KFF-Overview,,1
acute care,"Short-term, intensive treatment for severe illness or injury, typically delivered in a hospital's emergency department or inpatient units.",compound,"A patient admitted for a heart attack receives acute care in the hospital before stepping down to rehabilitation or home.",,,1
post-acute care,"Care that follows a hospital stay to help a patient recover, including skilled nursing facilities, inpatient rehabilitation, and home health services.",compound,"After a hip replacement, many patients move to post-acute care for a few weeks of physical therapy before returning home.",AHRQ-Transitions,,1
telehealth,"The delivery of clinical services — visits, consultations, monitoring — using video, phone, or secure messaging instead of an in-person visit.",noun,"Telehealth expanded rapidly during the 2020s and is now a routine setting for follow-up visits and behavioral health.",,,1
payer,"The organization that pays the bill for a healthcare service — typically a private insurer or a public program such as Medicare or Medicaid — distinct from the provider who delivers the care.",noun,"A patient may see a provider in one network while the claim is processed by a different payer, which is why the payer-provider distinction matters.",KFF-Overview,,1
Medicare,"A federal health-insurance program primarily for people age 65 and older and certain people with disabilities, administered by CMS.",noun,"Medicare is the payer for most Americans once they turn 65, even if the hospital that treats them is private.",CMS-About,,1
Medicaid,"A joint federal-state health-coverage program for people with low income and certain other eligible groups; each state runs its own program within federal rules.",noun,"Medicaid covers a large share of children, pregnant patients, and long-term nursing-home residents in the United States.",CMS-About,health-economics-and-government-impact,1
CHIP,"Children's Health Insurance Program — a joint federal-state program covering children in families whose income is too high for Medicaid but who otherwise lack affordable coverage.",abbreviation,"CHIP fills the gap for children whose families earn above the Medicaid threshold but cannot afford private premiums.",CMS-About,,1
continuum of care,"The full sequence of services a patient may use over time, from prevention and primary care through acute, specialty, post-acute, and end-of-life care.",compound,"Health-system design is mostly about keeping the continuum of care connected so patients don't fall through the gaps.",AHRQ-Transitions,,1
care transition,"The hand-off when a patient moves between settings or providers — for example, hospital to home, or primary care to specialist; a common source of errors and readmissions.",compound,"Medication lists, discharge instructions, and follow-up appointments are the fragile parts of every care transition.",AHRQ-Transitions,,1
access barrier,"Any factor that keeps a person from getting needed healthcare — cost, distance, language, insurance status, transportation, or digital access — and that shapes outcomes independent of clinical need.",compound,"A rural patient with diabetes may face two access barriers at once: distance to a clinic and limited home internet for telehealth.",RWJF-SDOH,,1
