# Vocabulary — healthcare-team-roles
# atom_id: healthcare-team-roles
# atom_serial: HHS-PH-0017
# sidecar: vocabulary
# status: ai-draft
# author: claude
# term_count: 13
term,definition,part_of_speech,example,source_key,related_atoms,difficulty
scope of practice,"The set of tasks a healthcare worker is legally and professionally permitted to perform, based on their license, certification, and training.","compound","A CNA's scope of practice includes taking vital signs and assisting with bathing, but not administering IV medications.",NCSBN-Delegation,scope-of-practice-and-licensure,1
delegation,"The process by which a licensed professional assigns a task within their own scope to someone with a narrower scope, while keeping responsibility for the outcome.","noun","An RN using delegation asks the CNA to record intake and output, but stays accountable for checking the numbers and acting on them.",NCSBN-Delegation,,1
handoff,"The structured transfer of responsibility for a patient from one clinician or shift to another, including the current plan, recent changes, and what to watch for.","noun","A handoff between the night nurse and the day nurse is where most missed information turns into a near-miss.",AHRQ-TeamSTEPPS,,1
SBAR,"A standardized handoff format — Situation, Background, Assessment, Recommendation — used to communicate a patient's status concisely between team members.","abbreviation","Using SBAR, the nurse tells the physician the situation, the background, her assessment, and what she recommends doing next.",AHRQ-TeamSTEPPS,,1
interprofessional team,"A group of healthcare workers from different professions who coordinate care for the same patient, each contributing expertise from their own scope.","compound","An interprofessional team for a stroke patient may include a physician, an RN, a physical therapist, a speech-language pathologist, a pharmacist, and a social worker.",IPEC-Core,,1
allied health,"The cluster of healthcare professions outside nursing, medicine, and dentistry — including therapists, technologists, technicians, and pharmacists — that provide diagnostic, technical, therapeutic, and support services.","compound","Allied health roles such as respiratory therapists and medical laboratory scientists outnumber physicians in most hospitals.",BLS-OOH,,1
advanced practice provider,"A clinician — typically a nurse practitioner or physician assistant — trained to diagnose, prescribe, and manage care, often working alongside or in place of a physician.","compound","In many primary-care clinics, an advanced practice provider sees patients independently for routine visits and consults the physician on complex cases.",BLS-OOH,,1
supervision,"A working relationship in which a more-licensed clinician oversees the practice of another team member, ranging from on-site review of every case to remote collaboration.","noun","A PA practices under physician supervision, though the exact rules for how close that supervision must be vary by state.",BLS-OOH,scope-of-practice-and-licensure,1
licensed,"Authorized by a state board to practice a profession after meeting education, examination, and sometimes experience requirements; losing a license removes legal authority to practice.","adjective","A licensed RN can administer medications that a certified medical assistant cannot, even if both have been on the unit for the same number of years.",NCSBN-Delegation,scope-of-practice-and-licensure,1
certified,"Recognized by a professional body or state registry as having met a training or testing standard for a specific role, usually narrower than full licensure.","adjective","A certified nursing assistant has completed state-approved training and passed a competency exam, but does not hold a nursing license.",BLS-OOH,,1
RN,"Registered nurse — a licensed nurse who assesses patients, plans and delivers care, administers medications, and delegates tasks to CNAs and LPNs; prepared via ADN or BSN plus the NCLEX-RN exam.","abbreviation","The RN on the unit assigns herself the new admission and delegates vital-sign rounds to the CNA.",NCSBN-Delegation,healthcare-careers-and-pathways,1
MD,"Doctor of medicine — a physician licensed to diagnose disease, prescribe treatment, and perform procedures within their specialty after medical school and residency.","abbreviation","The attending MD writes the discharge plan after rounding with the interprofessional team.",BLS-OOH,healthcare-careers-and-pathways,1
PA,"Physician assistant — a licensed clinician who diagnoses, prescribes, and performs many procedures under a collaborative relationship with a physician.","abbreviation","In the emergency department, a PA may run the low-acuity side of the board while the physician handles trauma.",BLS-OOH,healthcare-careers-and-pathways,1
