# Vocabulary — healthcare-equipment-and-malfunction-reporting
# atom_id: healthcare-equipment-and-malfunction-reporting
# atom_serial: HHS-PH-0015
# sidecar: vocabulary
# status: ai-draft
# author: claude
# term_count: 13
#
# Terms are pinned to the atom's three LO parts:
#   1. Identify common equipment across the five health science systems
#   2. Recognize signs of malfunction
#   3. Describe the process for reporting equipment problems
# LO part 1 is anchored by "critical device" as the named concept — the
# five system categories and their specific devices are named in book.md
# without each getting a vocab row (that would be glossary bloat). LO
# part 2 is anchored by malfunction, alarm, error code, and lockout
# tag / "Do Not Use" labeling. LO part 3 is anchored by work order,
# biomed (HTM), risk management, incident report, MDR, and preventive
# maintenance, plus downtime procedure for when equipment is out of
# service. Imaging physics, analyzer chemistry, FDA 510(k)/PMA approval
# mechanics, and device-cybersecurity topics live in other atoms.
term,definition,part_of_speech,example,source_key,related_atoms,difficulty
malfunction,"A failure of equipment to operate as designed — including abnormal readings, error codes, alarms, physical damage, or unexpected shutdowns.",noun,"A ventilator malfunction can show up as an alarm, an error code on the display, or a pressure reading that does not match the patient's condition.",AAMI-DeviceSafety,,1
alarm,"An auditory or visual signal a medical device generates when a measurement, setting, or internal check falls outside an expected range.",noun,"When an IV pump alarm sounds, the first step is to read the message on the screen before silencing the sound.",ECRI-AlertsList,,1
error code,"A short code or message a device displays to identify a specific internal fault, usually documented in the manufacturer's manual.",compound,"A sterilizer that flashes error code E-07 on its display needs to be taken out of service until biomed resolves the fault.",AAMI-DeviceSafety,,1
lockout tag,"A physical label — often a brightly colored tag reading 'Do Not Use' — attached to equipment to warn staff that the device is unsafe and must not be operated.",compound,"After finding a cracked housing on a glucose meter, the technician attached a lockout tag and placed the device in the biomed drop-off bin.",OSHA-LOTO,,1
work order,"A formal request, usually submitted in a computerized maintenance system, that asks the facility's biomed or engineering team to inspect or repair a specific piece of equipment.",compound,"A nurse submits a work order describing the IV-pump alarm pattern so biomed knows which device to pick up.",TJC-EC,,1
biomed,"A facility's clinical-engineering or healthcare-technology-management (HTM) team — the technicians responsible for inspecting, maintaining, and repairing medical equipment.",noun,"Biomed takes the out-of-service ventilator to the shop, runs diagnostics, and either repairs it or removes it from the inventory.",AAMI-DeviceSafety,,1
risk management,"The hospital department that tracks safety events, investigates patient-harm incidents, and coordinates the facility's response when a device may have contributed to harm.",compound,"Risk management reviews the incident report and decides whether a device-related patient injury also requires an FDA MDR submission.",TJC-EC,,2
incident report,"An internal hospital document that records a safety event — a fall, a medication error, a device problem, or a near-miss — so the facility can investigate and prevent recurrence.",compound,"After the infusion over-delivered, the nurse filed an incident report that same shift and set the pump aside for biomed and risk management.",TJC-EC,,1
MDR,"Medical Device Reporting — the FDA program under which manufacturers, importers, and device user facilities must report device-related deaths and serious injuries to the FDA.",abbreviation,"A hospital's risk-management office files an MDR when a patient is seriously injured and a medical device is suspected to have contributed.",FDA-MDR,,2
medical device reporting,"The FDA process, commonly abbreviated MDR, through which device-related patient deaths, serious injuries, and certain malfunctions are formally reported to the federal regulator.",compound,"Medical device reporting is separate from the internal incident report — a serious device-related injury triggers both.",FDA-MDR,,2
critical device,"A piece of equipment whose failure during use could directly cause patient harm — such as a ventilator, defibrillator, or IV pump — and that therefore gets priority preventive maintenance and redundancy.",compound,"A ventilator is a critical device, so every unit on the floor gets a backup circuit and a scheduled biomed inspection.",TJC-EC,,2
preventive maintenance,"Scheduled inspection, cleaning, and testing of equipment on a regular cycle to catch problems before the device fails in use.",compound,"Preventive maintenance on defibrillators includes battery checks, pad-expiration checks, and a self-test every shift.",TJC-EC,,1
downtime procedure,"A pre-planned workflow a unit follows when a piece of equipment or an EHR is unavailable — using paper forms, backup devices, or manual processes until service is restored.",compound,"When the barcode scanners went down, the floor shifted to its downtime procedure and verified medications with two-nurse paper checks.",TJC-EC,electronic-health-records-basics,2
