# Vocabulary — healthcare-regulatory-agencies
# atom_id: healthcare-regulatory-agencies
# atom_serial: HHS-PH-0016
# sidecar: vocabulary
# status: ai-draft
# author: claude
# term_count: 13
term,definition,part_of_speech,example,source_key,related_atoms,difficulty
accreditation,"A voluntary process in which an independent organization reviews a hospital or health system against published standards and grants recognition when those standards are met.",noun,"The Joint Commission accreditation matters because many insurers and Medicare require it as a condition of payment.",TJC-About,,1
sentinel event,"A patient-safety event that reaches a patient and results in death, permanent harm, or severe temporary harm; reviewed by The Joint Commission to drive system change.",compound,"A wrong-site surgery is a sentinel event and triggers a root-cause analysis under Joint Commission expectations.",TJC-About,,1
standard precaution,"An infection-control practice applied to every patient — hand hygiene, appropriate PPE, safe injection practices, and sharps handling — regardless of diagnosis.",compound,"Using a standard precaution means you wash your hands and wear gloves for blood contact with any patient, not only those with a known infection.",CDC-About,,1
transmission-based precaution,"An additional infection-control practice used when a specific route of transmission (contact, droplet, airborne) is known or suspected, layered on top of standard precautions.",compound,"A transmission-based precaution for a measles patient adds an N95 respirator and a negative-pressure room to the standard precautions already in use.",CDC-About,,1
bloodborne pathogen,"A disease-causing microorganism present in human blood or other potentially infectious materials, such as hepatitis B, hepatitis C, or HIV.",compound,"OSHA's bloodborne pathogen standard requires employers to provide training, PPE, and a hepatitis B vaccination offer to workers with exposure risk.",OSHA-BBP,,1
personal protective equipment,"Gear worn to protect workers from exposure to hazards — in healthcare, gloves, gowns, masks, respirators, and eye protection.",compound,"Personal protective equipment is the last line of defense; engineering controls like sharps containers should reduce exposure risk before PPE is relied on.",OSHA-BBP,,1
medical device reporting,"The FDA program through which manufacturers, importers, and user facilities report device-related deaths, serious injuries, and certain malfunctions so the agency can track safety signals.",compound,"A hospital that sees a recurring infusion-pump error files a medical device reporting submission so the FDA can investigate.",FDA-About,,1
immunization schedule,"The CDC-recommended list of vaccines, with ages and intervals, for children, adolescents, and adults; developed with the Advisory Committee on Immunization Practices.",compound,"The CDC immunization schedule is updated each year and is used by pediatric clinics, school nurses, and pharmacists to plan patient vaccinations.",CDC-Immunization,,1
outbreak response,"The coordinated public-health effort to detect, investigate, and contain a cluster of disease cases; CDC leads federal coordination and supports state and local partners.",compound,"During an outbreak response, CDC epidemiologists work with state health departments to identify cases and cut transmission chains.",CDC-About,,1
regulation,"A legally binding rule issued by a government agency under statutory authority; violating it can bring fines, loss of license, or other enforcement.",noun,"OSHA's bloodborne pathogen regulation is enforceable in federal court; a Joint Commission standard, by contrast, is a condition of voluntary accreditation.",OSHA-BBP,,1
guideline,"A recommended practice issued by an authoritative body that is not itself legally binding, though it may be adopted into regulation or contractual requirements.",noun,"WHO hand-hygiene guidelines are not U.S. law, but hospitals often adopt them through accreditation standards and internal policy.",WHO-About,,1
institutional review board,"A committee formally designated to review and monitor biomedical research involving human subjects to protect their rights and welfare, required for most NIH-funded studies.",compound,"An institutional review board reviews the consent forms and study protocol before enrollment in an NIH-funded clinical trial begins.",OHRP-HumanSubjects,,1
human subjects research,"Systematic investigation involving living individuals from whom data or specimens are obtained through interaction or identifiable records, regulated under the Common Rule.",compound,"Human subjects research funded by NIH must follow Common Rule protections, including IRB oversight and informed consent.",OHRP-HumanSubjects,,1
