atom_id,state,standard_code,alignment_strength,rationale,source,reviewer,review_date,framework_version
comptia-data-plus::1.1,georgia,IT-FAI-5.2,supporting,Basic data types parallel Data+ numeric/text/date types,ai-draft,,,2021-03-04
comptia-data-plus::1.1,georgia,IT-AIC-4.6,supporting,Assign and convert values across data types in programs,ai-draft,,,2021-03-04
comptia-data-plus::1.1,georgia,IT-AIC-5.4,primary,Spreadsheet vs database compare aligns with DB type concepts,ai-draft,,,2021-03-04
comptia-data-plus::1.1,georgia,IT-AIC-5.6,primary,Dataset and DataFrame concepts cover structured data,ai-draft,,,2021-03-04
comptia-data-plus::1.1,georgia,IT-FAI-4.5,mentioned,"Introduces integer, string, Boolean, list data types",ai-draft,,,2021-03-04
comptia-data-plus::1.2,georgia,IT-FAI-5.1,supporting,Kinds of data collected online map to sources,ai-draft,,,2021-03-04
comptia-data-plus::1.2,georgia,IT-AIC-5.1,supporting,Examples of data science in the world include sources,ai-draft,,,2021-03-04
comptia-data-plus::1.2,georgia,IT-AIC-5.3,supporting,Data use in AI applications requires source awareness,ai-draft,,,2021-03-04
comptia-data-plus::1.2,georgia,IT-AIA-5.6,primary,Evaluating data sources directly overlaps,ai-draft,,,2021-03-04
comptia-data-plus::1.2,georgia,IT-AIA-5.7,primary,Utilizing existing datasets from reliable sources (Kaggle),ai-draft,,,2021-03-04
comptia-data-plus::1.3,georgia,IT-AIA-3.1,primary,Networks and cloud services that use AI solutions,ai-draft,,,2021-03-04
comptia-data-plus::1.3,georgia,IT-AIA-3.4,supporting,"Proprietary cloud AI tools (Azure, AWS, Google, Watson)",ai-draft,,,2021-03-04
comptia-data-plus::1.4,georgia,IT-AIC-4.9,supporting,Use external libraries in programs,ai-draft,,,2021-03-04
comptia-data-plus::1.4,georgia,IT-AIC-5.5,primary,DBMS / SQL function definition,ai-draft,,,2021-03-04
comptia-data-plus::1.4,georgia,IT-AIC-5.8,supporting,"Jupyter Notebooks, Matplotlib as data viz tools",ai-draft,,,2021-03-04
comptia-data-plus::1.4,georgia,IT-AIA-3.3,supporting,"Open-source AI/data tools (TensorFlow, Scikit-Learn)",ai-draft,,,2021-03-04
comptia-data-plus::1.4,georgia,IT-AIA-4.3,primary,"IDEs (VS Code, PyCharm, Jupyter) and pandas packages",ai-draft,,,2021-03-04
comptia-data-plus::1.4,georgia,IT-AIA-5.8,supporting,Pandas for data analysis/manipulation,ai-draft,,,2021-03-04
comptia-data-plus::1.5,georgia,IT-FAI-3.5,primary,"ML, NLP, computer vision defined as AI areas",ai-draft,,,2021-03-04
comptia-data-plus::1.5,georgia,IT-AIC-3.1,primary,"Classify ML, NLP, computer vision examples",ai-draft,,,2021-03-04
comptia-data-plus::1.5,georgia,IT-AIC-3.2,supporting,Supervised/unsupervised/reinforcement learning,ai-draft,,,2021-03-04
comptia-data-plus::1.5,georgia,IT-AIA-2.2,mentioned,"Non-ML AI (genetic algorithms, robotics, CV)",ai-draft,,,2021-03-04
